,Orden de Satélite,Num OS,Estado,Satélite Procesos,Valor Unitario,Cantidad,Producto,SubTotal,Orden de Produccion,Proveedor,Orden Satélite PDF,Fecha Entrega a Satélite,Fecha Promesa a Molt,Ficha Técnica Producto,Orden de Producción Det,Creado por,Cliente,Id.,Costeo
6720,OS-0014716-5516-1-CHALECO ENGUATADO,14716,Finalizado,Bordado,13000.0,14.0,CHALECO ENGUATADO,182000.0,OP-Grupo A 0005516,SEIIBA  SAS,,26/07/2024,29/07/2024,WhatsApp Image 2024-07-19 at 12.03.39 PM (1).jpeg,5516-1-CHALECO ENGUATADO,Cristian Esguerra,Grupo A,56074114,COS-0009466 (Costeo)
6721,OS-0014715-5516-2-Overol Tipo Piloto,14715,Finalizado,Bordado,9000.0,45.0,Overol Tipo Piloto,405000.0,OP-Grupo A 0005516,SEIIBA  SAS,,26/07/2024,29/07/2024,WhatsApp Image 2024-07-19 at 12.01.58 PM (2).jpeg,5516-2-Overol Tipo Piloto,Cristian Esguerra,Grupo A,56073633,COS-0009466 (Costeo)
6722,OS-0014714-5516-2-Overol Tipo Piloto,14714,Finalizado,Estampado,2000.0,45.0,Overol Tipo Piloto,90000.0,OP-Grupo A 0005516,SEIIO,,26/07/2024,29/07/2024,WhatsApp Image 2024-07-19 at 12.01.58 PM (2).jpeg,5516-2-Overol Tipo Piloto,Cristian Esguerra,Grupo A,56073491,COS-0009466 (Costeo)
6723,OS-0014713-5512-1-OVEROL DOS PIEZAS,14713,Finalizado,Bordado,1200.0,10.0,OVEROL DOS PIEZAS,12000.0,OP-AGP COLOMBIA 0005512,NOHEMI TINJACA REYES,,25/07/2024,29/07/2024,OVEROL_ENTERIZO.png,5512-1-OVEROL DOS PIEZAS,Cristian Esguerra,AGP COLOMBIA,56064818,COS-0009452 (Costeo)
6724,OS-0014712-5457-1-DELANTAL CLASICO,14712,En Proceso,Estampado,1000.0,22.0,DELANTAL CLASICO,22000.0,OP-Masser SAS - Terpel 0005457,SEIIO,,25/07/2024,29/07/2024,109022 FT. DELANTAL ROJO SBARRO.pdf,5457-1-DELANTAL CLASICO,Cristian Esguerra,Masser SAS - Terpel,56062032,COS-0009259 (Costeo)
6725,OS-0014711-5472-4-Pantalón dotación,14711,Finalizado,Bordado,1100.0,2.0,Pantalón dotación,2200.0,OP-Hoteles Decameron 0005472,SEIIBA  SAS,,25/07/2024,29/07/2024,No.17 FT. PANTALÓN CALLE CAQUI DECAMERON EXPLORER BACK DAMA.pdf,5472-4-Pantalón dotación,Cristian Esguerra,Hoteles Decameron,56061537,COS-0009320 (Costeo)
6726,OS-0014710-5472-3-Pantalón dotación,14710,Finalizado,Bordado,1100.0,2.0,Pantalón dotación,2200.0,OP-Hoteles Decameron 0005472,SEIIBA  SAS,,25/07/2024,29/07/2024,No.85 FT. PANTALÓN CALLE CAQUI DECAMERON EXPLORER SOPORTE DAMA.pdf,5472-3-Pantalón dotación,Cristian Esguerra,Hoteles Decameron,56061509,COS-0009320 (Costeo)
6727,OS-0014709-5472-2-PANTALON RESORTADO CABALLERO,14709,Finalizado,Bordado,1100.0,2.0,PANTALON RESORTADO CABALLERO,2200.0,OP-Hoteles Decameron 0005472,SEIIBA  SAS,,25/07/2024,29/07/2024,No.28 FT. PANTALÓN CALLE CARGO CAQUI DECAMERON EXPLORER OPERATIVO DAMA.pdf,5472-2-PANTALON RESORTADO CABALLERO,Cristian Esguerra,Hoteles Decameron,56061472,COS-0009320 (Costeo)
6728,OS-0014708-5462-8-Camiseta polo,14708,En Proceso,Confección,4000.0,22.0,Camiseta polo,88000.0,OP-Masser SAS - Terpel 0005462,GLORIA LOZANO,,25/07/2024,01/08/2024,203107 FT_ POLO BLANCO SABARRO DAMA.pdf,5462-8-Camiseta polo,Cristian Esguerra,Masser SAS - Terpel,56060333,COS-0009299 (Costeo)
6729,OS-0014707-5462-4-Camiseta polo,14707,En Proceso,Confección,4000.0,6.0,Camiseta polo,24000.0,OP-Masser SAS - Terpel 0005462,GLORIA LOZANO,,26/07/2024,01/08/2024,103131 FT. POLO BLANCO SABARRO HOMBRE.pdf,5462-4-Camiseta polo,Cristian Esguerra,Masser SAS - Terpel,56060246,COS-0009299 (Costeo)
6730,OS-0014706-5507-8-CHAQUETA MICHELIN,14706,En Proceso,Bordado,3600.0,50.0,CHAQUETA MICHELIN,180000.0,OP-PARKING INTERNATIONAL S A S 0005507,SEIIBA  SAS,,25/07/2024,30/07/2024,206021 FT. CHAQUETA VERDE DAMA PARKING.pdf,5507-8-CHAQUETA MICHELIN,Cristian Esguerra,PARKING INTERNATIONAL S A S,56059805,COS-0009431 (Costeo)
6731,OS-0014705-5506-2-CHAQUETA SPORT,14705,Recibido Parcial,Bordado,800.0,10.0,CHAQUETA SPORT,8000.0,OP-R-Politécnico Gran Colombiano 0005506,CARLOS ANDRES PEREZ CELIS,,25/07/2024,29/07/2024,,5506-2-CHAQUETA SPORT,Cristian Esguerra,Politécnico Gran Colombiano,56056143,COS-0009429 (Costeo)
6732,OS-0014704-5506-1-CHAQUETA SPORT,14704,Finalizado,Bordado,800.0,10.0,CHAQUETA SPORT,8000.0,OP-R-Politécnico Gran Colombiano 0005506,CARLOS ANDRES PEREZ CELIS,,25/07/2024,29/07/2024,,5506-1-CHAQUETA SPORT,Cristian Esguerra,Politécnico Gran Colombiano,56056056,COS-0009429 (Costeo)
6733,OS-0014703-5495-4-CONJUNTO ANTIFLUIDO,14703,Finalizado,Confección|Confección,11000.0,107.0,CONJUNTO ANTIFLUIDO,2433180.0,OP-CLINICOS 0005495,NUBIA INES VIJA CASTAÑEDA,,25/07/2024,09/08/2024,212008 FT_ UNIFORME CLINICOS BLANCO DAMA LOGO COMPENSAR.pdf,5495-4-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,56051436,COS-0009381 (Costeo)
6734,OS-0014702-5513-8-Pantalón dotación,14702,Finalizado,Confección,8000.0,18.0,Pantalón dotación,144000.0,OP-CLARO COLOMBIA 0005513,SETATIS SAS,,25/07/2024,01/08/2024,FT. JEAN AZUL OSCURO CAV Y TIENDA CLARO HOMBRE.pdf,5513-8-Pantalón dotación,Cristian Esguerra,CLARO COLOMBIA,56044051,COS-0009456 (Costeo)
6735,OS-0014701-5513-2-Pantalón dotación,14701,Finalizado,Confección,8000.0,18.0,Pantalón dotación,144000.0,OP-CLARO COLOMBIA 0005513,SETATIS SAS,,25/07/2024,01/08/2024,FT. JEAN NEGRO CAV Y TIENDA CLARO HOMBRE.pdf,5513-2-Pantalón dotación,Cristian Esguerra,CLARO COLOMBIA,56043962,COS-0009456 (Costeo)
6736,OS-0014700-5513-5-Pantalón dotación,14700,En Proceso,Confección,8000.0,18.0,Pantalón dotación,144000.0,OP-CLARO COLOMBIA 0005513,SETATIS SAS,,25/07/2024,01/08/2024,FT. JEAN AZUL OSCURO CAV Y TIENDA CLARO DAMA.pdf,5513-5-Pantalón dotación,Cristian Esguerra,CLARO COLOMBIA,56043822,COS-0009456 (Costeo)
6737,OS-0014699-5513-6-Pantalón dotación,14699,En Proceso,Confección,8000.0,18.0,Pantalón dotación,144000.0,OP-CLARO COLOMBIA 0005513,SETATIS SAS,,25/07/2024,01/08/2024,FT. JEAN NEGRO CAV Y TIENDA CLARO DAMA.pdf,5513-6-Pantalón dotación,Cristian Esguerra,CLARO COLOMBIA,56043766,COS-0009456 (Costeo)
6738,OS-0014698-5420-26-CHALECO REFLECTIVO,14698,En Proceso,Confección,12000.0,18.0,CHALECO REFLECTIVO,216000.0,OP-TALMA COLOMBIA 0005420,KAREN ROJAS PINZON,,25/07/2024,31/07/2024,,5420-26-CHALECO REFLECTIVO,Cristian Esguerra,TALMA COLOMBIA,56043334,COS-0009156 (Costeo)
6739,OS-0014697-5453-8-,14697,En Proceso,Confección,13000.0,34.0,,442000.0,OP-McCain 0005453,SANDRA GARCIA,,25/07/2024,09/08/2024,111006 FT_ OVEROL VERDE BOTELLA DOZ PIEZAS McCAIN HOMBRE.pdf,5453-8-,Cristian Esguerra,McCain,56042701,COS-0009267 (Costeo)
6740,OS-0014696-5494-1-HODDIE ABIERTO,14696,Finalizado,Confección,8000.0,15.0,HOA033 HOODIE ABIERTO,120000.0,OP-tecnoglass 0005494,KAREN ROJAS PINZON,,25/07/2024,29/07/2024,Captura de pantalla 2024-07-09 a la(s) 2.05.31 p. m..png,5494-1-HODDIE ABIERTO,Cristian Esguerra,tecnoglass,56042556,COS-0009379 (Costeo)
6741,OS-0014695-5495-23-camisa,14695,En Proceso,Confección,11000.0,28.0,camisa,308000.0,OP-CLINICOS 0005495,OSWALDO GUZMAN - SANDRA CAMISAS,,25/07/2024,05/08/2024,Captura de pantalla 2023-10-16 171349.png,5495-23-camisa,Cristian Esguerra,CLINICOS,56042405,COS-0009381 (Costeo)
6742,OS-0014694-5495-24-camisa,14694,En Proceso,Confección,12000.0,19.0,camisa,228000.0,OP-CLINICOS 0005495,OSWALDO GUZMAN - SANDRA CAMISAS,,25/07/2024,05/08/2024,102028 FT. CAMISA BLANCO COMPENSAR (1).pdf,5495-24-camisa,Cristian Esguerra,CLINICOS,56042315,COS-0009381 (Costeo)
6743,OS-0014693-5495-22-PANTALÓN TIPO CALLE CABALLERO,14693,En Proceso,Confección|Confección,8500.0,30.0,PANTALÓN TIPO CALLE CABALLERO,540000.0,OP-CLINICOS 0005495,SETATIS SAS,,25/07/2024,09/08/2024,108028 FT. PANTALÓN CALLE AZUL HOMBRE CLINICOS.pdf,5495-22-PANTALÓN TIPO CALLE CABALLERO,Cristian Esguerra,CLINICOS,56042008,COS-0009381 (Costeo)
6744,OS-0014692-5495-21-PANTALÓN  CALLE  DAMA,14692,En Proceso,Confección,9500.0,23.0,PANTALÓN  CALLE  DAMA,218500.0,OP-CLINICOS 0005495,SETATIS SAS,,25/07/2024,09/08/2024,Captura de pantalla 2023-10-16 171349.png,5495-21-PANTALÓN  CALLE  DAMA,Cristian Esguerra,CLINICOS,56041901,COS-0009381 (Costeo)
6745,OS-0014691-5495-8-CONJUNTO ANTIFLUIDO,14691,En Proceso,Confección,11000.0,34.0,CONJUNTO ANTIFLUIDO,374000.0,OP-CLINICOS 0005495,MARIA PAULINA RUIZ MARTINEZ,,25/07/2024,12/08/2024,212010 FT_ UNIFORME CLINICOS AZUL OSCURO DAMA SIN LOGO INNOVAR.pdf,5495-8-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,56041494,COS-0009381 (Costeo)
6746,OS-0014690-5495-7-CONJUNTO ANTIFLUIDO,14690,En Proceso,Confección,11000.0,11.0,CONJUNTO ANTIFLUIDO,121000.0,OP-CLINICOS 0005495,MARIA PAULINA RUIZ MARTINEZ,,25/07/2024,12/08/2024,112007 FT_ UNIFORME CLINICOS AZUL OSCURO HOMBRE  SIN LOGO INNOVAR.pdf,5495-7-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,56041427,COS-0009381 (Costeo)
6747,OS-0014689-5495-5-CONJUNTO ANTIFLUIDO,14689,En Proceso,Confección,11000.0,21.0,CONJUNTO ANTIFLUIDO,231000.0,OP-CLINICOS 0005495,MARIA PAULINA RUIZ MARTINEZ,,25/07/2024,12/08/2024,112006 FT_ UNIFORME CLINICOS BLANCO HOMBRE LOGO COMPENSAR.pdf,5495-5-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,56041360,COS-0009381 (Costeo)
6748,OS-0014688-5495-9-CONJUNTO ANTIFLUIDO,14688,En Proceso,Confección,11000.0,8.0,CONJUNTO ANTIFLUIDO,88000.0,OP-CLINICOS 0005495,MARIA PAULINA RUIZ MARTINEZ,,25/07/2024,12/08/2024,Captura de pantalla 2023-10-16 171349.png,5495-9-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,56041040,COS-0009381 (Costeo)
6749,OS-0014687-5502-4-HODDIE CERRADO,14687,Finalizado,Estampado,8000.0,1.0,HODDIE CERRADO,0.0,OP-EL VIAJERO HOSTELS SAS 0005502,SEIIO,,25/07/2024,29/07/2024,,5502-4-HODDIE CERRADO,Cristian Esguerra,EL VIAJERO HOSTELS SAS,56040658,COS-0009402 (Costeo)
6750,OS-0014686-5502-3-HODDIE CERRADO,14686,Finalizado,Estampado,8000.0,8.0,HODDIE CERRADO,0.0,OP-EL VIAJERO HOSTELS SAS 0005502,SEIIO,,25/07/2024,29/07/2024,104062 FT. HOODIE AZUL REY 5 AÑOS VIAJERO.pdf,5502-3-HODDIE CERRADO,Cristian Esguerra,EL VIAJERO HOSTELS SAS,56040622,COS-0009402 (Costeo)
6751,OS-0014685-5502-2-HODDIE CERRADO,14685,Finalizado,Estampado,8000.0,58.0,HODDIE CERRADO,0.0,OP-EL VIAJERO HOSTELS SAS 0005502,SEIIO,,25/07/2024,29/07/2024,,5502-2-HODDIE CERRADO,Cristian Esguerra,EL VIAJERO HOSTELS SAS,56040534,COS-0009402 (Costeo)
6752,OS-0014684-5502-1-HODDIE CERRADO,14684,Finalizado,Estampado,8000.0,130.0,HODDIE CERRADO,1040000.0,OP-EL VIAJERO HOSTELS SAS 0005502,SEIIO,,25/07/2024,29/07/2024,104060 FT. HOODIE GRIS JASPE 1 AÑO VIAJERO.pdf,5502-1-HODDIE CERRADO,Cristian Esguerra,EL VIAJERO HOSTELS SAS,56040241,COS-0009402 (Costeo)
6753,OS-0014683-5438-4-camisa,14683,Recibido Parcial,Confección,11000.0,10.0,camisa,110000.0,OP-Masser SAS - Terpel 0005438,EMILCE SOLER MARTINEZ,,24/07/2024,01/08/2024,Blusa Azúl _ Altoque (1).pdf,5438-4-camisa,Cristian Esguerra,Masser SAS - Terpel,56034858,COS-0009233 (Costeo)
6754,OS-0014682-5438-3-CAMISA MANGA LARGA,14682,Finalizado,Confección,12000.0,10.0,CAMISA MANGA LARGA,120000.0,OP-Masser SAS - Terpel 0005438,EMILCE SOLER MARTINEZ,,24/07/2024,01/08/2024,FT. Camisa Hombre Altoque Administrador.pdf,5438-3-CAMISA MANGA LARGA,Cristian Esguerra,Masser SAS - Terpel,56034563,COS-0009233 (Costeo)
6755,OS-0014681-5472-1-camisa,14681,Finalizado,Confección,11000.0,6.0,camisa,66000.0,OP-Hoteles Decameron 0005472,EMILCE SOLER MARTINEZ,,24/07/2024,01/08/2024,No.70 FT. BLUSA BLANCO MANGA LARGA DECAMERON EXPLORER SOPORTE DAMA.pdf,5472-1-camisa,Cristian Esguerra,Hoteles Decameron,56034407,COS-0009320 (Costeo)
6756,OS-0014680-5460-2-POLO MANGA LARGA,14680,En Proceso,Confección,4000.0,420.0,POLO MANGA LARGA,1680000.0,OP-MINISO 0005460,PEDRO JULIO SOTO JARAMILLO,,24/07/2024,05/08/2024,103108 FT. POLO MANGA LARGA ROJO ZONA FRANCA MINISO HOMBRE (1).pdf,5460-2-POLO MANGA LARGA,Cristian Esguerra,MINISO,56034040,COS-0009290 (Costeo)
6757,OS-0014679-5462-7-camisa,14679,En Proceso,Bordado,1300.0,2.0,camisa,2600.0,OP-Masser SAS - Terpel 0005462,SEIIBA  SAS,,24/07/2024,26/07/2024,,5462-7-camisa,Cristian Esguerra,Masser SAS - Terpel,56033907,COS-0009299 (Costeo)
6758,OS-0014678-5462-6-CAMISA MANGA LARGA,14678,Finalizado,Bordado,1300.0,2.0,CAMISA MANGA LARGA,2600.0,OP-Masser SAS - Terpel 0005462,SEIIBA  SAS,,24/07/2024,26/07/2024,,5462-6-CAMISA MANGA LARGA,Cristian Esguerra,Masser SAS - Terpel,56033803,COS-0009299 (Costeo)
6759,OS-0014677-5466-2-Camiseta polo,14677,Recibido Parcial,Confección,4500.0,334.0,Camiseta polo,1503000.0,OP-Masser SAS - Terpel 0005466,CAMISETAS LEANDRO GOMEZ,,24/07/2024,08/08/2024,203056 FT. POLO BLANCO ALTOQUE SABARRO DAMA (1).pdf,5466-2-Camiseta polo,Cristian Esguerra,Masser SAS - Terpel,56025777,COS-0009304 (Costeo)
6760,OS-0014676-5463-1-CHAQUETA MICHELIN,14676,En Proceso,Confección,13000.0,236.0,CHAQUETA MICHELIN,3068000.0,OP-Masser SAS - Terpel 0005463,LEIDY LOPEZ,,24/07/2024,09/08/2024,Chaqueta Roja Hombre - Altoque.pdf,5463-1-CHAQUETA MICHELIN,Cristian Esguerra,Masser SAS - Terpel,56025099,COS-0009300 (Costeo)
6761,OS-0014674-5463-1-CHAQUETA MICHELIN,14674,En Proceso,Confección,13000.0,252.0,CHAQUETA MICHELIN,3276000.0,OP-Masser SAS - Terpel 0005463,KAREN ROJAS PINZON,,24/07/2024,09/08/2024,Chaqueta Roja Hombre - Altoque.pdf,5463-1-CHAQUETA MICHELIN,Cristian Esguerra,Masser SAS - Terpel,56025076,COS-0009300 (Costeo)
6762,OS-0014672-5463-1-CHAQUETA MICHELIN,14672,Finalizado,Confección,13000.0,89.0,CHAQUETA MICHELIN,1157000.0,OP-Masser SAS - Terpel 0005463,YEISY VIVIANA RAMIREZ,,24/07/2024,05/08/2024,Chaqueta Roja Hombre - Altoque.pdf,5463-1-CHAQUETA MICHELIN,Cristian Esguerra,Masser SAS - Terpel,56024765,COS-0009300 (Costeo)
6763,OS-0014671-5440-16-POLO MANGA CORTA,14671,En Proceso,Confección,4000.0,48.0,POLO MANGA CORTA,192000.0,OP-MINISO 0005440,PEDRO JULIO SOTO JARAMILLO,,24/07/2024,30/07/2024,103090 FT. POLO MANGA CORTA NEGRO MINISO HOMBRE (1).pdf,5440-16-POLO MANGA CORTA,Cristian Esguerra,MINISO,56024410,COS-0009235 (Costeo)
6764,OS-0014670-5440-3-POLO MANGA CORTA,14670,En Proceso,Confección,4000.0,66.0,POLO MANGA CORTA,264000.0,OP-MINISO 0005440,MARIANOROCA SAS - CESAR,,24/07/2024,30/07/2024,103088 FT. POLO MANGA CORTA ROJO MINISO HOMBRE (1).pdf,5440-3-POLO MANGA CORTA,Cristian Esguerra,MINISO,56023823,COS-0009235 (Costeo)
6765,OS-0014669-5440-2-POLO MANGA LARGA,14669,En Proceso,Confección,4000.0,84.0,POLO MANGA LARGA,336000.0,OP-MINISO 0005440,MARIANOROCA SAS - CESAR,,24/07/2024,30/07/2024,103089 FT. POLO MANGA LARGA ROJO MINISO HOMBRE (2).pdf,5440-2-POLO MANGA LARGA,Cristian Esguerra,MINISO,56021268,COS-0009235 (Costeo)
6766,OS-0014668-5440-15-POLO MANGA LARGA,14668,En Proceso,Confección,4500.0,840.0,POLO MANGA LARGA,3780000.0,OP-MINISO 0005440,FABIO HERNANDO PAIPILLA SANA,,24/07/2024,01/08/2024,103093 FT. POLO MANGA LARGA BLANCO MINISO HOMBRE (1).pdf,5440-15-POLO MANGA LARGA,Cristian Esguerra,MINISO,56019991,COS-0009235 (Costeo)
6767,OS-0014667-5471-1-CHAQUETA SPORT,14667,Recibido Parcial,Confección,15000.0,350.0,CHAQUETA SPORT,0.0,OP-Organización Terpel SA (Terpel) 0005471,ALBA ROCIO TRIANA RIAÑO,,24/07/2024,13/08/2024,,5471-1-CHAQUETA SPORT,Cristian Esguerra,Organización Terpel SA (Terpel),56019647,COS-0009318 (Costeo)
6768,OS-0014666-5446-1-BLUSA CHEF,14666,Finalizado,Bordado,1300.0,90.0,BLC106 BLUSA CHEF,117000.0,OP-Europastry Colombia SAS 0005446,NOHEMI TINJACA REYES,,24/07/2024,25/07/2024,207007 FT_ BATA CHEF BLANCA EUROPASTRY DAMA.pdf,5446-1-BLUSA CHEF,Cristian Esguerra,Europastry Colombia SAS,56018249,COS-0009252 (Costeo)
6769,OS-0014665-5505-2-POLO MANGA CORTA,14665,En Proceso,Confección,3500.0,10.0,POLO MANGA CORTA,35000.0,OP-TALMA COLOMBIA 0005505,DEVWEAR,,23/07/2024,24/07/2024,103151 FT. POLO MANGA CORTA BLANCO TALMA HOMBRE.pdf,5505-2-POLO MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,56017147,COS-0009423 (Costeo)
6770,OS-0014664-5487-1-SACO FLEECE,14664,Finalizado,Bordado,1200.0,320.0,SACO FLEECE,384000.0,OP-AGP COLOMBIA 0005487,NOHEMI TINJACA REYES,,23/07/2024,26/07/2024,104096 FT. SACO CUELLO REDONDO NEGRO AGP.pdf,5487-1-SACO FLEECE,Cristian Esguerra,AGP COLOMBIA,56016210,COS-0009364 (Costeo)
6771,OS-0014663-5455-1-Conjunto antifluido,14663,Finalizado,Bordado,900.0,0.0,Conjunto antifluido,0.0,OP-TALMA COLOMBIA 0005455,NOHEMI TINJACA REYES,,23/07/2024,24/07/2024,212030 FT. CONJUNTO SERV GENERALES AZUL OSCURO TALMA DAMA (1).pdf,5455-1-Conjunto antifluido,Cristian Esguerra,TALMA COLOMBIA,56015585,COS-0009272 (Costeo)
6772,OS-0014662-5505-1-POLO MANGA CORTA,14662,En Proceso,Confección,3500.0,15.0,POLO MANGA CORTA,52500.0,OP-TALMA COLOMBIA 0005505,DEVWEAR,,23/07/2024,24/07/2024,103152 FT. POLO MANGA CORTA AZUL OSCURO TALMA HOMBRE.pdf,5505-1-POLO MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,56015423,COS-0009423 (Costeo)
6773,OS-0014661-5507-2-Gorra seis cascos,14661,En Proceso,Paquete Completo Sin Marca,6000.0,200.0,Gorra seis cascos,1200000.0,OP-PARKING INTERNATIONAL S A S 0005507,DAVID EDUARDO VERA,,24/07/2024,09/08/2024,FTM. GORRA PARKING.pdf,5507-2-Gorra seis cascos,Cristian Esguerra,PARKING INTERNATIONAL S A S,56015239,COS-0009431 (Costeo)
6774,OS-0014660-5403-7-Morral,14660,Recibido Parcial,Sublimación,10000.0,270.0,Morral,2700000.0,OP-BOLD 0005403,DESIGNS AND PRINTS GAV S.A.S,,23/07/2024,26/07/2024,,5403-7-Morral,Cristian Esguerra,BOLD,56014850,COS-0009109 (Costeo)
6775,OS-0014659-5429-9-CONJUNTO ANTIFLUIDO,14659,Finalizado,Bordado,1800.0,12.0,CONJUNTO ANTIFLUIDO,21600.0,OP-MOLT Proyectos 0005429,SEIIBA  SAS,,23/07/2024,25/07/2024,,5429-9-CONJUNTO ANTIFLUIDO,Cristian Esguerra,El Arca de Noé,56006513,COS-0009124 (Costeo)
6776,OS-0014658-5495-10-BATA TIPO LABORATORIO,14658,Finalizado,Bordado,1000.0,18.0,BATA TIPO LABORATORIO,18000.0,OP-CLINICOS 0005495,NOHEMI TINJACA REYES,,22/07/2024,23/07/2024,107008 FT_ BATA ESPECIALISTAS CLINICOS BLANCO HOMBRE LOGO CLINICOS.pdf,5495-10-BATA TIPO LABORATORIO,Cristian Esguerra,CLINICOS,56005825,COS-0009381 (Costeo)
6777,OS-0014657-5495-13-BATA TIPO LABORATORIO,14657,Finalizado,Bordado,1000.0,43.0,BATA TIPO LABORATORIO,43000.0,OP-CLINICOS 0005495,NOHEMI TINJACA REYES,,22/07/2024,23/07/2024,207008 FT_ BATA ESPECIALISTAS CLINICOS BLANCO DAMA LOGO CLINICOS.pdf,5495-13-BATA TIPO LABORATORIO,Cristian Esguerra,CLINICOS,56005633,COS-0009381 (Costeo)
6778,OS-0014656-5495-4-CONJUNTO ANTIFLUIDO,14656,Finalizado,Bordado,1000.0,107.0,CONJUNTO ANTIFLUIDO,107000.0,OP-CLINICOS 0005495,NOHEMI TINJACA REYES,,22/07/2024,24/07/2024,212008 FT_ UNIFORME CLINICOS BLANCO DAMA LOGO COMPENSAR.pdf,5495-4-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,56003216,COS-0009381 (Costeo)
6779,OS-0014655-5480-2-Gorra seis cascos,14655,Finalizado,Bordado,3000.0,141.0,Gorra seis cascos,423000.0,OP-Masser SAS - Terpel 0005480,NOHEMI TINJACA REYES,,22/07/2024,26/07/2024,FT. BORDADO GORRA SBARRO ALTOQUE (2).pdf,5480-2-Gorra seis cascos,Cristian Esguerra,Masser SAS - Terpel,55997283,COS-0009341 (Costeo)
6780,OS-0014654-5466-4-Gorra seis cascos,14654,Recibido Parcial,Bordado,3000.0,234.0,Gorra seis cascos,702000.0,OP-Masser SAS - Terpel 0005466,NOHEMI TINJACA REYES,,22/07/2024,26/07/2024,FT. BORDADO GORRA SBARRO ALTOQUE (1).pdf,5466-4-Gorra seis cascos,Cristian Esguerra,Masser SAS - Terpel,55997123,COS-0009304 (Costeo)
6781,OS-0014653-5468-2-Gorra Curva,14653,Finalizado,Bordado,3000.0,21.0,Gorra Curva,63000.0,OP-Masser SAS - Terpel 0005468,NOHEMI TINJACA REYES,,22/07/2024,26/07/2024,310053 FT_ GORRA GRIS ALTOQUE SABARRO MIMO´S _1_.pdf,5468-2-Gorra Curva,Cristian Esguerra,Masser SAS - Terpel,55996956,COS-0009306 (Costeo)
6782,OS-0014652-5467-2-Gorra Curva,14652,En Proceso,Bordado,2000.0,5.0,Gorra Curva,10000.0,OP-Masser SAS - Terpel 0005467,NOHEMI TINJACA REYES,,22/07/2024,26/07/2024,310053 FT_ GORRA GRIS ALTOQUE SABARRO MIMO´S _1_.pdf,5467-2-Gorra Curva,Cristian Esguerra,Masser SAS - Terpel,55996584,COS-0009305 (Costeo)
6783,OS-0014651-5463-9-Gorra Curva,14651,En Proceso,Bordado,2000.0,428.0,Gorra Curva,856000.0,OP-Masser SAS - Terpel 0005463,NOHEMI TINJACA REYES,,22/07/2024,26/07/2024,FT. Gorra Altoque Operario (1).pdf,5463-9-Gorra Curva,Cristian Esguerra,Masser SAS - Terpel,55996407,COS-0009300 (Costeo)
6784,OS-0014650-5495-6-CONJUNTO ANTIFLUIDO,14650,Finalizado,Bordado,1000.0,2.0,CONJUNTO ANTIFLUIDO,2000.0,OP-CLINICOS 0005495,SEIIBA  SAS,,22/07/2024,25/07/2024,112005 FT_ UNIFORME CLINICOS BLANCO HOMBRE LOGO CLINICOS.pdf,5495-6-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,55994237,COS-0009381 (Costeo)
6785,OS-0014649-5495-3-CONJUNTO ANTIFLUIDO,14649,Finalizado,Bordado,1000.0,44.0,CONJUNTO ANTIFLUIDO,44000.0,OP-CLINICOS 0005495,SEIIBA  SAS,,22/07/2024,25/07/2024,212007 FT_ UNIFORME CLINICOS BLANCO DAMA LOGO CLINICOS.pdf,5495-3-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,55994204,COS-0009381 (Costeo)
6786,OS-0014648-5495-2-CONJUNTO ANTIFLUIDO,14648,Finalizado,Bordado,1000.0,59.0,CONJUNTO ANTIFLUIDO,59000.0,OP-CLINICOS 0005495,SEIIBA  SAS,,25/07/2024,23/07/2024,112004 FT_ UNIFORME CLINICOS AZUL OSCURO HOMBRE LOGO CLINICOS.pdf,5495-2-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,55994018,COS-0009381 (Costeo)
6787,OS-0014647-5495-1-CONJUNTO ANTIFLUIDO,14647,Finalizado,Bordado,1000.0,303.0,CONJUNTO ANTIFLUIDO,303000.0,OP-CLINICOS 0005495,SEIIBA  SAS,,22/07/2024,25/07/2024,212006 FT_ UNIFORME CLINICOS AZUL OSCURO DAMA LOGO CLINICOS.pdf,5495-1-CONJUNTO ANTIFLUIDO,Cristian Esguerra,CLINICOS,55993904,COS-0009381 (Costeo)
6788,OS-0014646-5462-5-Gorra Curva,14646,Finalizado,Bordado,1400.0,16.0,Gorra Curva,22400.0,OP-Masser SAS - Terpel 0005462,SEIIBA  SAS,,22/07/2024,24/07/2024,310054 FT_ GORRA ROJO SBARRO UNISEX.pdf,5462-5-Gorra Curva,Cristian Esguerra,Masser SAS - Terpel,55988929,COS-0009299 (Costeo)
